"tested_strain","infected_strain","log_titer","colume_base","minimum_base","distance","sr_coord_1","sr_coord_2","ag_coord_1","ag_coord_2","ag_distance","infected_year","tested_year","year_diff"
"BI/15793/68","HK/1/68",5.14567745519564,7,7,1.85432254480436,5.62681281374,14.1024349153,4.04806432953,14.972721497,1.80273278959541,1968,1968,0
"BI/16190/68","HK/1/68",6,7,7,1,5.62681281374,14.1024349153,4.10330206141,14.8063276024,1.67825800382956,1968,1968,0
"BI/16398/68","HK/1/68",6.86170728658586,7,7,0.138292713414144,5.62681281374,14.1024349153,4.36344841606,13.8929251374,1.28061858035914,1968,1968,0
"BI/808/69","HK/1/68",5,7,7,2,5.62681281374,14.1024349153,3.87169764308,14.2552884031,1.7617586245038,1968,1969,1
"BI/908/69","HK/1/68",7,7,7,0,5.62681281374,14.1024349153,4.86865595435,14.0931875933,0.758213252590773,1968,1969,1
"BI/17938/69","HK/1/68",5.79181407116183,7,7,1.20818592883817,5.62681281374,14.1024349153,4.40037478944,14.860122145,1.44161026824151,1968,1969,1
"BI/93/70","HK/1/68",6.79311555527435,7,7,0.206884444725652,5.62681281374,14.1024349153,5.05936853902,14.477686057,0.680298775729943,1968,1970,2
"BI/2668/70","HK/1/68",5,7,7,2,5.62681281374,14.1024349153,4.82002371117,15.4709921597,1.58866534777637,1968,1970,2
"BI/6449/71","HK/1/68",4.04439411935845,7,7,2.95560588064155,5.62681281374,14.1024349153,3.8689797106,15.9188266054,2.52769776483644,1968,1971,3
"BI/21438/71","HK/1/68",6.49984588708321,7,7,0.500154112916794,5.62681281374,14.1024349153,4.27257743308,14.1186830193,1.35433284945575,1968,1971,3
"BI/21801/71","HK/1/68",6.49984588708321,7,7,0.500154112916794,5.62681281374,14.1024349153,4.26279009631,14.1365153221,1.36444840422523,1968,1971,3
"BI/6022/72","HK/1/68",5.50143914515887,7,7,1.49856085484113,5.62681281374,14.1024349153,3.31006996257,14.1152907437,2.31677852000815,1968,1972,4
"BI/5168/76","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,0.723193078971,9.24414313133,6.90278824544158,1968,1976,8
"BI/4273/75","HK/1/68",2,7,7,5,5.62681281374,14.1024349153,0.12244709625,14.3478754759,5.50983511737573,1968,1975,7
"BI/334/75","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,0.744119320484,13.760114258,4.89467865967714,1968,1975,7
"BI/1843/75","HK/1/68",2,7,7,5,5.62681281374,14.1024349153,0.773509884096,12.9754554037,4.98243235242158,1968,1975,7
"BI/21793/72","HK/1/68",3,7,7,4,5.62681281374,14.1024349153,1.92210056182,13.6248485176,3.73536900945465,1968,1972,4
"BI/23290/72","HK/1/68",3,7,7,4,5.62681281374,14.1024349153,1.65642755,13.7274148626,3.98805706860507,1968,1972,4
"BI/23337/72","HK/1/68",3,7,7,4,5.62681281374,14.1024349153,1.656428374,13.7274158895,3.98805615169113,1968,1972,4
"BI/552/73","HK/1/68",4,7,7,3,5.62681281374,14.1024349153,1.31418448834,13.020057941,4.44638088646679,1968,1973,5
"BI/748/73","HK/1/68",2.37851162325373,7,7,4.62148837674627,5.62681281374,14.1024349153,1.44613041221,13.8939890852,4.18587565588716,1968,1973,5
"BI/3517/73","HK/1/68",3,7,7,4,5.62681281374,14.1024349153,1.78898175587,13.8135861344,3.84868559991317,1968,1973,5
"BI/5146/74","HK/1/68",2,7,7,5,5.62681281374,14.1024349153,0.832518170399,14.3716075222,4.80184495995795,1968,1974,6
"BI/5930/74","HK/1/68",2,7,7,5,5.62681281374,14.1024349153,1.60788788965,13.8538601454,4.02660489267356,1968,1974,6
"BI/5931/74","HK/1/68",0.678071905112638,7,7,6.32192809488736,5.62681281374,14.1024349153,1.58601068112,13.0011375997,4.18819025980603,1968,1974,6
"BI/7398/74","HK/1/68",1,7,7,6,5.62681281374,14.1024349153,0.600279621976,13.228178205,5.10199575885846,1968,1974,6
"BI/9459/74","HK/1/68",2.58496250072116,7,7,4.41503749927884,5.62681281374,14.1024349153,1.25135771896,12.9564186686,4.52304770305782,1968,1974,6
"BI/2600/75","HK/1/68",3,7,7,4,5.62681281374,14.1024349153,0.121970006681,13.7900225,5.51370073976298,1968,1975,7
"BI/2813/75","HK/1/68",2,7,7,5,5.62681281374,14.1024349153,1.36269472937,14.1771193529,4.26477206925187,1968,1975,7
"BI/628/76","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,-1.58837429954,8.28598875092,9.2676842340885,1968,1976,8
"BI/1761/76","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,0.927252727247,8.88135320529,7.02463943766219,1968,1976,8
"BI/2271/76","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,-1.71066313092,8.45855111783,9.25699614117931,1968,1976,8
"BI/5029/76","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,1.07960525378,8.3510849161,7.3317885544153,1968,1976,8
"BI/5657/76","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,0.867162831057,8.50766274496,7.34545734421385,1968,1976,8
"BI/6545/76","HK/1/68",1,7,7,6,5.62681281374,14.1024349153,0.875974291749,8.60432318454,7.26634015622406,1968,1976,8
"AM/1609/77","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,0.895041247101,9.41358551938,6.66145410676022,1968,1977,9
"BI/3895/77","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,0.678128316109,8.75968463299,7.28247614731535,1968,1977,9
"RD/5828/77","HK/1/68",2.58496250072116,7,7,4.41503749927884,5.62681281374,14.1024349153,1.32216623526,9.72713807109,6.1378501643958,1968,1977,9
"RD/8179/77","HK/1/68",2,7,7,5,5.62681281374,14.1024349153,0.917010619876,9.11999231069,6.8561629949673,1968,1977,9
"NL/209/80","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,-3.311483795,6.80544282325,11.5385978289068,1968,1980,12
"RD/577/80","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,-3.37747450096,6.92802239403,11.5130093837807,1968,1980,12
"NL/233/82","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.63302580964,6.69505136508,11.8580749867384,1968,1982,14
"NL/241/82","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.50329064666,6.50988436619,11.8745784362393,1968,1982,14
"NL/330/85","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-2.41647581163,5.74714822763,11.5976423269629,1968,1985,17
"ST/10/85","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-2.45182488974,4.94914919505,12.2084817492029,1968,1985,17
"CO/2/86","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,-2.80367223187,4.922501242,12.4637177579742,1968,1986,18
"NL/450/88","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-0.0963880425681,2.0219216554,13.3676411032113,1968,1988,20
"NL/620/89","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,0.49235887644,1.49574080925,13.6121766634793,1968,1989,21
"VI/2/90","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-2.11640199102,-0.999139721607,16.9710026818314,1968,1990,22
"LY/1149/91","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-1.82196241993,-2.56510120002,18.2562595467207,1968,1991,23
